day,month,year,Temperature, RH, Ws,Rain ,FFMC,DMC,DC,ISI,BUI,FWI,Classes  
1.00,6.00,2012.00,29.00,57.00,18.00,0.00,65.70,3.40,7.60,1.30,3.40,0.50,0
2.00,6.00,2012.00,29.00,61.00,13.00,1.30,64.40,4.10,7.60,1.00,3.90,0.40,0
3.00,6.00,2012.00,26.00,82.00,22.00,13.10,47.10,2.50,7.10,0.30,2.70,0.10,0
4.00,6.00,2012.00,25.00,89.00,13.00,2.50,28.60,1.30,6.90,0.00,1.70,0.00,0
5.00,6.00,2012.00,27.00,77.00,16.00,0.00,64.80,3.00,14.20,1.20,3.90,0.50,0
6.00,6.00,2012.00,31.00,67.00,14.00,0.00,82.60,5.80,22.20,3.10,7.00,2.50,1
7.00,6.00,2012.00,33.00,54.00,13.00,0.00,88.20,9.90,30.50,6.40,10.90,7.20,1
8.00,6.00,2012.00,30.00,73.00,15.00,0.00,86.60,12.10,38.30,5.60,13.50,7.10,1
9.00,6.00,2012.00,25.00,88.00,13.00,0.20,52.90,7.90,38.80,0.40,10.50,0.30,0
10.00,6.00,2012.00,28.00,79.00,12.00,0.00,73.20,9.50,46.30,1.30,12.60,0.90,0
11.00,6.00,2012.00,31.00,65.00,14.00,0.00,84.50,12.50,54.30,4.00,15.80,5.60,1
12.00,6.00,2012.00,26.00,81.00,19.00,0.00,84.00,13.80,61.40,4.80,17.70,7.10,1
13.00,6.00,2012.00,27.00,84.00,21.00,1.20,50.00,6.70,17.00,0.50,6.70,0.20,0
14.00,6.00,2012.00,30.00,78.00,20.00,0.50,59.00,4.60,7.80,1.00,4.40,0.40,0
15.00,6.00,2012.00,28.00,80.00,17.00,3.10,49.40,3.00,7.40,0.40,3.00,0.10,0
16.00,6.00,2012.00,29.00,89.00,13.00,0.70,36.10,1.70,7.60,0.00,2.20,0.00,0
17.00,6.00,2012.00,30.00,89.00,16.00,0.60,37.30,1.10,7.80,0.00,1.60,0.00,0
18.00,6.00,2012.00,31.00,78.00,14.00,0.30,56.90,1.90,8.00,0.70,2.40,0.20,0
19.00,6.00,2012.00,31.00,55.00,16.00,0.10,79.90,4.50,16.00,2.50,5.30,1.40,0
20.00,6.00,2012.00,30.00,80.00,16.00,0.40,59.80,3.40,27.10,0.90,5.10,0.40,0
21.00,6.00,2012.00,30.00,78.00,14.00,0.00,81.00,6.30,31.60,2.60,8.40,2.20,1
22.00,6.00,2012.00,31.00,67.00,17.00,0.10,79.10,7.00,39.50,2.40,9.70,2.30,0
23.00,6.00,2012.00,32.00,62.00,18.00,0.10,81.40,8.20,47.70,3.30,11.50,3.80,1
24.00,6.00,2012.00,32.00,66.00,17.00,0.00,85.90,11.20,55.80,5.60,14.90,7.50,1
25.00,6.00,2012.00,31.00,64.00,15.00,0.00,86.70,14.20,63.80,5.70,18.30,8.40,1
26.00,6.00,2012.00,31.00,64.00,18.00,0.00,86.80,17.80,71.80,6.70,21.60,10.60,1
27.00,6.00,2012.00,34.00,53.00,18.00,0.00,89.00,21.60,80.30,9.20,25.80,15.00,1
28.00,6.00,2012.00,32.00,55.00,14.00,0.00,89.10,25.50,88.50,7.60,29.70,13.90,1
29.00,6.00,2012.00,32.00,47.00,13.00,0.30,79.90,18.40,84.40,2.20,23.80,3.90,0
30.00,6.00,2012.00,33.00,50.00,14.00,0.00,88.70,22.90,92.80,7.20,28.30,12.90,1
1.00,7.00,2012.00,29.00,68.00,19.00,1.00,59.90,2.50,8.60,1.10,2.90,0.40,0
2.00,7.00,2012.00,27.00,75.00,19.00,1.20,55.70,2.40,8.30,0.80,2.80,0.30,0
3.00,7.00,2012.00,32.00,76.00,20.00,0.70,63.10,2.60,9.20,1.30,3.00,0.50,0
4.00,7.00,2012.00,33.00,78.00,17.00,0.00,80.10,4.60,18.50,2.70,5.70,1.70,0
5.00,7.00,2012.00,33.00,66.00,14.00,0.00,85.90,7.60,27.90,4.80,9.10,4.90,1
6.00,7.00,2012.00,32.00,63.00,14.00,0.00,87.00,10.90,37.00,5.60,12.50,6.80,1
7.00,7.00,2012.00,35.00,64.00,18.00,0.20,80.00,9.70,40.40,2.80,12.10,3.20,0
8.00,7.00,2012.00,33.00,68.00,19.00,0.00,85.60,12.50,49.80,6.00,15.40,8.00,1
9.00,7.00,2012.00,32.00,68.00,14.00,1.40,66.60,7.70,9.20,1.10,7.40,0.60,0
10.00,7.00,2012.00,33.00,69.00,13.00,0.70,66.60,6.00,9.30,1.10,5.80,0.50,0
11.00,7.00,2012.00,33.00,76.00,14.00,0.00,81.10,8.10,18.70,2.60,8.10,2.20,0
12.00,7.00,2012.00,31.00,75.00,13.00,0.10,75.10,7.90,27.70,1.50,9.20,0.90,0
13.00,7.00,2012.00,34.00,81.00,15.00,0.00,81.80,9.70,37.20,3.00,11.70,3.40,0
14.00,7.00,2012.00,34.00,61.00,13.00,0.60,73.90,7.80,22.90,1.40,8.40,0.80,0
15.00,7.00,2012.00,30.00,80.00,19.00,0.40,60.70,5.20,17.00,1.10,5.90,0.50,0
16.00,7.00,2012.00,28.00,76.00,21.00,0.00,72.60,7.00,25.50,0.70,8.30,0.40,0
17.00,7.00,2012.00,29.00,70.00,14.00,0.00,82.80,9.40,34.10,3.20,11.10,3.60,1
18.00,7.00,2012.00,31.00,68.00,14.00,0.00,85.40,12.10,43.10,4.60,14.20,6.00,1
19.00,7.00,2012.00,35.00,59.00,17.00,0.00,88.10,12.00,52.80,7.70,18.20,10.90,1
20.00,7.00,2012.00,33.00,65.00,15.00,0.10,81.40,12.30,62.10,2.80,16.50,4.00,1
21.00,7.00,2012.00,33.00,70.00,17.00,0.00,85.40,18.50,71.50,5.20,22.40,8.80,1
22.00,7.00,2012.00,28.00,79.00,18.00,0.10,73.40,16.40,79.90,1.80,21.70,2.80,0
23.00,7.00,2012.00,27.00,66.00,22.00,0.40,68.20,10.50,71.30,1.80,15.40,2.10,0
24.00,7.00,2012.00,28.00,78.00,16.00,0.10,70.00,9.60,79.70,1.40,14.70,1.30,0
25.00,7.00,2012.00,31.00,65.00,18.00,0.00,84.30,12.50,88.70,4.80,18.50,7.30,1
26.00,7.00,2012.00,36.00,53.00,19.00,0.00,89.20,17.10,98.60,10.00,23.90,15.30,1
27.00,7.00,2012.00,36.00,48.00,13.00,0.00,90.30,22.20,108.50,8.70,29.40,15.30,1
28.00,7.00,2012.00,33.00,76.00,15.00,0.00,86.50,24.40,117.80,5.60,32.10,11.30,1
29.00,7.00,2012.00,32.00,73.00,15.00,0.00,86.60,26.70,127.00,5.60,35.00,11.90,1
30.00,7.00,2012.00,31.00,79.00,15.00,0.00,85.40,28.50,136.00,4.70,37.40,10.70,1
