Temperature, RH, Ws,Rain ,FFMC,DMC,DC,ISI,BUI,FWI,Classes  
0.35,0.52173913,0.52173913,0,0.550445104,0.041411043,0.003278689,0.068421053,0.034379671,0.01607717,0
0.35,0.579710145,0.304347826,0.077380952,0.53115727,0.052147239,0.003278689,0.052631579,0.041853513,0.012861736,0
0.2,0.884057971,0.695652174,0.779761905,0.274480712,0.027607362,0.000936768,0.015789474,0.023916293,0.003215434,0
0.15,0.985507246,0.304347826,0.148809524,0,0.009202454,0,0,0.00896861,0,0
0.25,0.811594203,0.434782609,0,0.523664122,0.035276074,0.033739456,0.063157895,0.041853513,0.01607717,0
0.45,0.666666667,0.347826087,0,0.795419847,0.078220859,0.071227741,0.163157895,0.08819133,0.080385852,1
0.55,0.47826087,0.304347826,0,0.880916031,0.141104294,0.110121837,0.336842105,0.146487294,0.231511254,1
0.4,0.753623188,0.391304348,0,0.85648855,0.174846626,0.146672915,0.294736842,0.185351271,0.22829582,1
0.15,0.971014493,0.304347826,0.011904762,0.341984733,0.110429448,0.149015933,0.021052632,0.140508221,0.009646302,0
0.3,0.84057971,0.260869565,0,0.651908397,0.134969325,0.1841612,0.068421053,0.171898356,0.028938907,0
0.45,0.637681159,0.347826087,0,0.824427481,0.180981595,0.221649485,0.210526316,0.219730942,0.180064309,1
0.2,0.869565217,0.565217391,0,0.816793893,0.200920245,0.254920337,0.252631579,0.24813154,0.22829582,1
0.25,0.913043478,0.652173913,0.071428571,0.297709924,0.09202454,0.046860356,0.026315789,0.083707025,0.006430868,0
0.4,0.826086957,0.608695652,0.029761905,0.435114504,0.059815951,0.003748828,0.052631579,0.049327354,0.012861736,0
0.3,0.855072464,0.47826087,0.18452381,0.288549618,0.035276074,0.001874414,0.021052632,0.028400598,0.003215434,0
0.35,0.985507246,0.304347826,0.041666667,0.085496183,0.015337423,0.002811621,0,0.016442451,0,0
0.4,0.985507246,0.434782609,0.035714286,0.103816794,0.006134969,0.003748828,0,0.007473842,0,0
0.45,0.826086957,0.347826087,0.017857143,0.403053435,0.018404908,0.004686036,0.036842105,0.019431988,0.006430868,0
0.45,0.492753623,0.434782609,0.005952381,0.754198473,0.058282209,0.042174321,0.131578947,0.062780269,0.045016077,0
0.4,0.855072464,0.434782609,0.023809524,0.447328244,0.041411043,0.094189316,0.047368421,0.059790732,0.012861736,0
0.4,0.826086957,0.347826087,0,0.770992366,0.085889571,0.115276476,0.136842105,0.109118087,0.07073955,1
0.45,0.666666667,0.47826087,0.005952381,0.741984733,0.096625767,0.152296157,0.126315789,0.128550075,0.073954984,0
0.5,0.594202899,0.52173913,0.005952381,0.777099237,0.115030675,0.190721649,0.173684211,0.155455904,0.122186495,1
0.5,0.652173913,0.47826087,0,0.845801527,0.161042945,0.228678538,0.294736842,0.206278027,0.241157556,1
0.45,0.623188406,0.391304348,0,0.858015267,0.207055215,0.266166823,0.3,0.257100149,0.270096463,1
0.45,0.623188406,0.52173913,0,0.859541985,0.262269939,0.303655108,0.352631579,0.306427504,0.340836013,1
0.6,0.463768116,0.52173913,0,0.893129771,0.320552147,0.34348641,0.484210526,0.369207773,0.482315113,1
0.5,0.492753623,0.347826087,0,0.894656489,0.380368098,0.381911903,0.4,0.427503737,0.446945338,1
0.5,0.376811594,0.304347826,0.017857143,0.754198473,0.271472393,0.362699157,0.115789474,0.339312407,0.125401929,0
0.55,0.420289855,0.347826087,0,0.888549618,0.340490798,0.402061856,0.378947368,0.406576981,0.414790997,1
0.35,0.68115942,0.565217391,0.05952381,0.448854962,0.027607362,0.007497657,0.057894737,0.02690583,0.012861736,0
0.25,0.782608696,0.565217391,0.071428571,0.384732824,0.02607362,0.006091846,0.042105263,0.025411061,0.009646302,0
0.5,0.797101449,0.608695652,0.041666667,0.497709924,0.029141104,0.010309278,0.068421053,0.028400598,0.01607717,0
0.55,0.826086957,0.47826087,0,0.757251908,0.059815951,0.05388941,0.142105263,0.068759342,0.054662379,0
0.55,0.652173913,0.347826087,0,0.845801527,0.105828221,0.097938144,0.252631579,0.119581465,0.15755627,1
0.5,0.608695652,0.347826087,0,0.86259542,0.156441718,0.140581068,0.294736842,0.170403587,0.218649518,1
0.65,0.623188406,0.52173913,0.011904762,0.755725191,0.13803681,0.15651359,0.147368421,0.164424514,0.102893891,0
0.55,0.68115942,0.565217391,0,0.841221374,0.180981595,0.200562324,0.315789474,0.213751868,0.257234727,1
0.5,0.68115942,0.347826087,0.083333333,0.551145038,0.107361963,0.010309278,0.057894737,0.094170404,0.019292605,0
0.55,0.695652174,0.304347826,0.041666667,0.551145038,0.081288344,0.010777882,0.057894737,0.070254111,0.01607717,0
0.55,0.797101449,0.347826087,0,0.772519084,0.113496933,0.054826617,0.136842105,0.104633782,0.07073955,0
0.45,0.782608696,0.304347826,0.005952381,0.680916031,0.110429448,0.097000937,0.078947368,0.121076233,0.028938907,0
0.6,0.869565217,0.391304348,0,0.783206107,0.13803681,0.141518276,0.157894737,0.158445441,0.109324759,0
0.6,0.579710145,0.304347826,0.035714286,0.66259542,0.108895706,0.074507966,0.073684211,0.109118087,0.025723473,0
0.4,0.855072464,0.565217391,0.023809524,0.461068702,0.069018405,0.046860356,0.057894737,0.071748879,0.01607717,0
0.3,0.797101449,0.652173913,0,0.642748092,0.096625767,0.086691659,0.036842105,0.107623318,0.012861736,0
0.35,0.710144928,0.347826087,0,0.798473282,0.133435583,0.126991565,0.168421053,0.149476831,0.115755627,1
0.45,0.68115942,0.347826087,0,0.838167939,0.174846626,0.169165886,0.242105263,0.195814649,0.192926045,1
0.65,0.550724638,0.47826087,0,0.879389313,0.173312883,0.214620431,0.405263158,0.255605381,0.350482315,1
0.55,0.637681159,0.391304348,0.005952381,0.777099237,0.17791411,0.258200562,0.147368421,0.23019432,0.128617363,1
0.55,0.710144928,0.47826087,0,0.838167939,0.273006135,0.302249297,0.273684211,0.31838565,0.282958199,1
0.3,0.84057971,0.52173913,0.005952381,0.654961832,0.240797546,0.341611996,0.094736842,0.307922272,0.090032154,0
0.25,0.652173913,0.695652174,0.023809524,0.575572519,0.150306748,0.30131209,0.094736842,0.213751868,0.067524116,0
0.3,0.826086957,0.434782609,0.005952381,0.603053435,0.136503067,0.340674789,0.073684211,0.20328849,0.041800643,0
0.45,0.637681159,0.52173913,0,0.821374046,0.180981595,0.38284911,0.252631579,0.260089686,0.234726688,1
0.7,0.463768116,0.565217391,0,0.896183206,0.251533742,0.429240862,0.526315789,0.340807175,0.491961415,1
0.7,0.391304348,0.304347826,0,0.912977099,0.329754601,0.475632615,0.457894737,0.423019432,0.491961415,1
0.55,0.797101449,0.391304348,0,0.854961832,0.363496933,0.519212746,0.294736842,0.463378176,0.363344051,1
0.5,0.753623188,0.391304348,0,0.85648855,0.398773006,0.562324274,0.294736842,0.506726457,0.382636656,1
0.45,0.84057971,0.391304348,0,0.838167939,0.426380368,0.604498594,0.247368421,0.542600897,0.344051447,1
0.65,0.623188406,0.47826087,0,0.865648855,0.478527607,0.64995314,0.357894737,0.599402093,0.504823151,1
0.7,0.347826087,0.347826087,0,0.73740458,0.062883436,0.014995314,0.105263158,0.053811659,0.028938907,0
0.65,0.492753623,0.260869565,0.023809524,0.72519084,0.078220859,0.014058107,0.089473684,0.065769806,0.025723473,0
0.65,0.608695652,0.347826087,0.017857143,0.703816794,0.076687117,0.014058107,0.089473684,0.065769806,0.025723473,0
0.6,0.695652174,0.304347826,0,0.832061069,0.115030675,0.059981256,0.210526316,0.10612855,0.125401929,1
0.6,0.637681159,0.304347826,0,0.859541985,0.159509202,0.106373008,0.273684211,0.155455904,0.196141479,1
0.5,0.782608696,0.347826087,0,0.853435115,0.188650307,0.150421743,0.273684211,0.195814649,0.218649518,1
0.5,0.695652174,0.434782609,0,0.854961832,0.226993865,0.194939082,0.289473684,0.240657698,0.257234727,1
0.5,0.565217391,0.52173913,0.017857143,0.711450382,0.162576687,0.187441425,0.115789474,0.19431988,0.083601286,0
0.65,0.550724638,0.47826087,0,0.86870229,0.216257669,0.234301781,0.363157895,0.251121076,0.318327974,1
0.65,0.492753623,0.347826087,0,0.891603053,0.274539877,0.281162137,0.389473684,0.310911809,0.372990354,1
0.65,0.608695652,0.304347826,0,0.891603053,0.32208589,0.328022493,0.373684211,0.364723468,0.389067524,1
0.65,0.434782609,0.304347826,0.017857143,0.775572519,0.228527607,0.319119025,0.131578947,0.292974589,0.135048232,0
0.65,0.608695652,0.391304348,0,0.86259542,0.280674847,0.365979381,0.310526316,0.348281016,0.327974277,1
0.55,0.652173913,0.347826087,0,0.86259542,0.32208589,0.410965323,0.3,0.390134529,0.340836013,1
0.7,0.492753623,0.304347826,0.017857143,0.792366412,0.228527607,0.400656045,0.194736842,0.312406577,0.202572347,1
0.7,0.579710145,0.52173913,0.017857143,0.758778626,0.168711656,0.39081537,0.147368421,0.246636771,0.135048232,1
0.75,0.449275362,0.52173913,0,0.897709924,0.234662577,0.439081537,0.510526316,0.325859492,0.469453376,1
0.7,0.47826087,0.52173913,0,0.899236641,0.29601227,0.4868791,0.510526316,0.394618834,0.517684887,1
0.65,0.594202899,0.565217391,0,0.899236641,0.345092025,0.533739456,0.510526316,0.45142003,0.553054662,1
0.65,0.68115942,0.565217391,0,0.882442748,0.386503067,0.579194002,0.463157895,0.502242152,0.540192926,1
0.7,0.536231884,0.565217391,0,0.887022901,0.443251534,0.628397376,0.484210526,0.563527653,0.591639871,1
0.7,0.492753623,0.52173913,0,0.894656489,0.503067485,0.676194939,0.521052632,0.627802691,0.655948553,1
0.7,0.463768116,0.434782609,0,0.900763359,0.56595092,0.723992502,0.547368421,0.693572496,0.717041801,1
0.6,0.623188406,0.347826087,0,0.891603053,0.610429448,0.769915651,0.473684211,0.744394619,0.672025723,1
0.65,0.565217391,0.391304348,0,0.891603053,0.662576687,0.816776007,0.431578947,0.801195815,0.652733119,1
0.45,0.826086957,0.52173913,0,0.844274809,0.688650307,0.860356139,0.247368421,0.837070254,0.440514469,1
0.55,0.884057971,0.652173913,0,0.830534351,0.710122699,0.905342081,0.231578947,0.869955157,0.424437299,1
0.6,0.623188406,0.434782609,0,0.899236641,0.759202454,0.953139644,0.384210526,0.923766816,0.639871383,1
0.65,0.391304348,0.52173913,0,0.909923664,0.820552147,1,0.657894737,0.99103139,0.971061093,1
0.65,0.710144928,0.47826087,0.047619048,0.644274809,0.375766871,1,0.089473684,0.542600897,0.135048232,0
0.3,0.855072464,0.652173913,1,0.335877863,0.122699387,0.009982384,0.031578947,0.107623318,0.009646302,0
0.15,0.797101449,0.47826087,0.712871287,0.236641221,0.009202454,0.002935995,0.010526316,0.010463378,0.003215434,0
0,0.942028986,0.391304348,1,0,0,0,0,0,0,0
0.15,0.826086957,0.391304348,0.436781609,0.080895009,0.004615385,0.002935995,0,0.004504505,0,0
0.35,0.753623188,0.47826087,0.011494253,0.524956971,0.015384615,0.051086318,0.068783069,0.022522523,0.01607717,0
0.35,0.782608696,0.434782609,0,0.7383821,0.038461538,0.09982384,0.142857143,0.055555556,0.054662379,1
0.35,0.768115942,0.565217391,0.011494253,0.65232358,0.041538462,0.147974163,0.105820106,0.063063063,0.028938907,0
0.45,0.724637681,0.47826087,0.034482759,0.545611015,0.035384615,0.135642983,0.074074074,0.055555556,0.019292605,0
0.4,0.753623188,0.47826087,0.103448276,0.414802065,0.026153846,0.008220787,0.052910053,0.024024024,0.012861736,0
0.4,0.811594203,0.391304348,0.114942529,0.313253012,0.018461538,0.008220787,0.031746032,0.018018018,0.006430868,0
0.55,0.753623188,0.260869565,0.206896552,0.378657487,0.02,0.011156782,0.031746032,0.01951952,0.009646302,0
0.4,0.811594203,0.652173913,0.206896552,0.354561102,0.015384615,0.008220787,0.052910053,0.015015015,0.009646302,0
0.35,0.971014493,0.304347826,0,0.569707401,0.026153846,0.05637111,0.058201058,0.034534535,0.01607717,0
0.15,0.942028986,0.652173913,0.528735632,0.051635112,0.006153846,0.002935995,0,0.006006006,0,0
0,0.797101449,0.869565217,0.954022989,0.163511188,0.003076923,0,0.015873016,0.003003003,0.003215434,0
0,0.884057971,0.391304348,0.045977011,0.120481928,0,0,0.005291005,0,0,0
0.333333333,0.637681159,0.347826087,0,0.691910499,0.035384615,0.049411765,0.095238095,0.042042042,0.025723473,0
0.388888889,0.449275362,0.347826087,0,0.857142857,0.084615385,0.1,0.322751323,0.094594595,0.189710611,1
0.444444444,0.405797101,0.217391304,0,0.886402754,0.136923077,0.151764706,0.354497354,0.148648649,0.247588424,1
0.277777778,0.52173913,0.347826087,0,0.884681583,0.178461538,0.2,0.407407407,0.192192192,0.311897106,1
0.222222222,0.913043478,0.52173913,0,0.790017212,0.193846154,0.247058824,0.232804233,0.219219219,0.202572347,1
0.388888889,0.492753623,0.217391304,0,0.858864028,0.24,0.297647059,0.28042328,0.267267267,0.266881029,1
